,Timestamp,High/Low,Pred(Ft)
128,2020-02-03 04:29:00,Low Tide,1.6
129,2020-02-03 10:45:00,High Tide,8.78
130,2020-02-03 17:10:00,Low Tide,1.36
131,2020-02-03 23:20:00,High Tide,7.83
132,2020-02-04 05:21:00,Low Tide,1.65
133,2020-02-04 11:38:00,High Tide,8.98
134,2020-02-04 18:06:00,Low Tide,1.11
135,2020-02-05 00:17:00,High Tide,7.89
136,2020-02-05 06:16:00,Low Tide,1.52
137,2020-02-05 12:32:00,High Tide,9.33
138,2020-02-05 19:02:00,Low Tide,0.68
139,2020-02-06 01:14:00,High Tide,8.15
140,2020-02-06 07:10:00,Low Tide,1.2
141,2020-02-06 13:25:00,High Tide,9.83
142,2020-02-06 19:55:00,Low Tide,0.12
143,2020-02-07 02:07:00,High Tide,8.57
144,2020-02-07 08:03:00,Low Tide,0.72
145,2020-02-07 14:16:00,High Tide,10.39
146,2020-02-07 20:45:00,Low Tide,-0.48
147,2020-02-08 02:56:00,High Tide,9.07
148,2020-02-08 08:54:00,Low Tide,0.16
149,2020-02-08 15:06:00,High Tide,10.91
150,2020-02-08 21:33:00,Low Tide,-1.04
151,2020-02-09 03:44:00,High Tide,9.58
152,2020-02-09 09:43:00,Low Tide,-0.37
153,2020-02-09 15:55:00,High Tide,11.32
154,2020-02-09 22:21:00,Low Tide,-1.47
155,2020-02-10 04:32:00,High Tide,10.06
156,2020-02-10 10:33:00,Low Tide,-0.81
157,2020-02-10 16:45:00,High Tide,11.53
158,2020-02-10 23:08:00,Low Tide,-1.71
159,2020-02-11 05:20:00,High Tide,10.46
160,2020-02-11 11:24:00,Low Tide,-1.1
161,2020-02-11 17:36:00,High Tide,11.52
162,2020-02-11 23:56:00,Low Tide,-1.73
163,2020-02-12 06:09:00,High Tide,10.72
164,2020-02-12 12:15:00,Low Tide,-1.19
165,2020-02-12 18:28:00,High Tide,11.27
166,2020-02-13 00:45:00,Low Tide,-1.52
167,2020-02-13 06:58:00,High Tide,10.8
168,2020-02-13 13:08:00,Low Tide,-1.07
169,2020-02-13 19:21:00,High Tide,10.81
170,2020-02-14 01:35:00,Low Tide,-1.1
171,2020-02-14 07:50:00,High Tide,10.71
172,2020-02-14 14:04:00,Low Tide,-0.78
173,2020-02-14 20:17:00,High Tide,10.19
174,2020-02-15 02:28:00,Low Tide,-0.54
175,2020-02-15 08:45:00,High Tide,10.47
176,2020-02-15 15:04:00,Low Tide,-0.4
177,2020-02-15 21:17:00,High Tide,9.54
178,2020-02-16 03:25:00,Low Tide,0.06
179,2020-02-16 09:43:00,High Tide,10.17
180,2020-02-16 16:06:00,Low Tide,-0.04
181,2020-02-16 22:22:00,High Tide,8.98
182,2020-02-17 04:25:00,Low Tide,0.58
183,2020-02-17 10:45:00,High Tide,9.89
184,2020-02-17 17:11:00,Low Tide,0.23
185,2020-02-17 23:29:00,High Tide,8.6
186,2020-02-18 05:26:00,Low Tide,0.96
187,2020-02-18 11:49:00,High Tide,9.71
188,2020-02-18 18:17:00,Low Tide,0.35
189,2020-02-19 00:38:00,High Tide,8.45
190,2020-02-19 06:29:00,Low Tide,1.13
191,2020-02-19 12:54:00,High Tide,9.67
192,2020-02-19 19:22:00,Low Tide,0.3
193,2020-02-20 01:41:00,High Tide,8.53
194,2020-02-20 07:30:00,Low Tide,1.09
195,2020-02-20 13:52:00,High Tide,9.76
196,2020-02-20 20:18:00,Low Tide,0.16
197,2020-02-21 02:35:00,High Tide,8.7
198,2020-02-21 08:24:00,Low Tide,0.93
199,2020-02-21 14:43:00,High Tide,9.89
200,2020-02-21 21:06:00,Low Tide,0.03
201,2020-02-22 03:21:00,High Tide,8.87
202,2020-02-22 09:11:00,Low Tide,0.74
203,2020-02-22 15:28:00,High Tide,9.97
204,2020-02-22 21:47:00,Low Tide,-0.05
205,2020-02-23 04:02:00,High Tide,9.03
206,2020-02-23 09:53:00,Low Tide,0.57
207,2020-02-23 16:09:00,High Tide,10.0
208,2020-02-23 22:25:00,Low Tide,-0.06
209,2020-02-24 04:39:00,High Tide,9.15
210,2020-02-24 10:34:00,Low Tide,0.46
211,2020-02-24 16:48:00,High Tide,9.95
212,2020-02-24 23:02:00,Low Tide,-0.01
213,2020-02-25 05:15:00,High Tide,9.24
214,2020-02-25 11:13:00,Low Tide,0.42
215,2020-02-25 17:25:00,High Tide,9.83
216,2020-02-25 23:38:00,Low Tide,0.11
217,2020-02-26 05:50:00,High Tide,9.29
218,2020-02-26 11:52:00,Low Tide,0.44
219,2020-02-26 18:03:00,High Tide,9.63
220,2020-02-27 00:13:00,Low Tide,0.29
221,2020-02-27 06:25:00,High Tide,9.29
222,2020-02-27 12:31:00,Low Tide,0.54
223,2020-02-27 18:41:00,High Tide,9.35
224,2020-02-28 00:50:00,Low Tide,0.55
225,2020-02-28 07:01:00,High Tide,9.23
226,2020-02-28 13:12:00,Low Tide,0.7
227,2020-02-28 19:21:00,High Tide,9.01
228,2020-02-29 01:29:00,Low Tide,0.86
229,2020-02-29 07:40:00,High Tide,9.13
230,2020-02-29 13:55:00,Low Tide,0.9
231,2020-02-29 20:04:00,High Tide,8.63
232,2020-03-01 02:11:00,Low Tide,1.2
233,2020-03-01 08:22:00,High Tide,9.01
234,2020-03-01 14:42:00,Low Tide,1.09
235,2020-03-01 20:52:00,High Tide,8.27
236,2020-03-02 02:57:00,Low Tide,1.5
237,2020-03-02 09:08:00,High Tide,8.92
238,2020-03-02 15:34:00,Low Tide,1.22
239,2020-03-02 21:44:00,High Tide,7.99
240,2020-03-03 03:48:00,Low Tide,1.7
241,2020-03-03 10:00:00,High Tide,8.92
242,2020-03-03 16:30:00,Low Tide,1.22
243,2020-03-03 22:40:00,High Tide,7.86
244,2020-03-04 04:42:00,Low Tide,1.75
245,2020-03-04 10:55:00,High Tide,9.06
246,2020-03-04 17:28:00,Low Tide,1.05
247,2020-03-04 23:40:00,High Tide,7.94
248,2020-03-05 05:40:00,Low Tide,1.59
249,2020-03-05 11:54:00,High Tide,9.37
250,2020-03-05 18:27:00,Low Tide,0.67
251,2020-03-06 00:40:00,High Tide,8.27
252,2020-03-06 06:39:00,Low Tide,1.18
253,2020-03-06 12:54:00,High Tide,9.87
254,2020-03-06 19:24:00,Low Tide,0.12
255,2020-03-07 01:36:00,High Tide,8.82
256,2020-03-07 07:37:00,Low Tide,0.57
257,2020-03-07 13:50:00,High Tide,10.46
258,2020-03-07 20:18:00,Low Tide,-0.52
259,2020-03-08 02:28:00,High Tide,9.49
260,2020-03-08 08:31:00,Low Tide,-0.15
261,2020-03-08 14:44:00,High Tide,11.03
262,2020-03-08 21:08:00,Low Tide,-1.11
263,2020-03-09 03:18:00,High Tide,10.18
264,2020-03-09 09:23:00,Low Tide,-0.83
265,2020-03-09 15:35:00,High Tide,11.45
266,2020-03-09 21:56:00,Low Tide,-1.54
267,2020-03-10 04:06:00,High Tide,10.78
268,2020-03-10 10:14:00,Low Tide,-1.37
269,2020-03-10 16:27:00,High Tide,11.65
270,2020-03-10 22:44:00,Low Tide,-1.75
271,2020-03-11 04:55:00,High Tide,11.22
272,2020-03-11 11:06:00,Low Tide,-1.69
273,2020-03-11 17:18:00,High Tide,11.59
274,2020-03-11 23:32:00,Low Tide,-1.7
275,2020-03-12 05:44:00,High Tide,11.44
276,2020-03-12 11:57:00,Low Tide,-1.75
277,2020-03-12 18:10:00,High Tide,11.29
278,2020-03-13 00:21:00,Low Tide,-1.39
279,2020-03-13 06:33:00,High Tide,11.4
280,2020-03-13 12:49:00,Low Tide,-1.53
281,2020-03-13 19:03:00,High Tide,10.77
282,2020-03-14 01:11:00,Low Tide,-0.86
283,2020-03-14 07:24:00,High Tide,11.13
284,2020-03-14 13:44:00,Low Tide,-1.08
285,2020-03-14 19:59:00,High Tide,10.11
286,2020-03-15 02:04:00,Low Tide,-0.19
287,2020-03-15 08:19:00,High Tide,10.67
288,2020-03-15 14:42:00,Low Tide,-0.51
289,2020-03-15 20:59:00,High Tide,9.43
290,2020-03-16 03:01:00,Low Tide,0.49
291,2020-03-16 09:18:00,High Tide,10.15
292,2020-03-16 15:44:00,Low Tide,0.05
293,2020-03-16 22:03:00,High Tide,8.86
294,2020-03-17 04:02:00,Low Tide,1.06
295,2020-03-17 10:21:00,High Tide,9.7
296,2020-03-17 16:49:00,Low Tide,0.48
297,2020-03-17 23:11:00,High Tide,8.5
298,2020-03-18 05:05:00,Low Tide,1.42
299,2020-03-18 11:27:00,High Tide,9.4
300,2020-03-18 17:56:00,Low Tide,0.72
301,2020-03-19 00:19:00,High Tide,8.39
302,2020-03-19 06:10:00,Low Tide,1.54
303,2020-03-19 12:34:00,High Tide,9.32
304,2020-03-19 19:01:00,Low Tide,0.75
305,2020-03-20 01:22:00,High Tide,8.52
306,2020-03-20 07:12:00,Low Tide,1.42
307,2020-03-20 13:34:00,High Tide,9.41
